,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Deck,Number,Side,Surname,TotalSpending
142,0163_02,1,1,2,17,0,1,1,8,0,968,0
143,0164_01,0,0,2,57,0,1,6,28,1,1036,1873
144,0164_02,0,1,1,17,0,0,6,28,1,1036,0
145,0165_01,2,1,2,35,0,1,5,37,0,42,0
146,0167_01,2,1,2,13,0,1,5,35,1,728,0
147,0167_02,2,0,2,27,0,0,5,35,1,728,1572
148,0169_01,0,1,2,31,0,0,6,23,0,709,0
149,0170_01,0,0,2,24,0,0,4,10,1,1281,788
150,0171_01,0,1,1,19,0,1,6,30,1,874,0
151,0172_01,0,1,2,32,0,1,6,24,0,1096,0
152,0173_01,0,0,2,58,0,1,4,11,1,891,990
153,0174_01,0,0,0,21,0,0,5,38,0,1167,593
154,0177_01,1,0,2,38,0,0,1,2,1,1072,27428
155,0178_01,2,0,2,38,0,0,3,6,1,1148,3722
156,0179_01,0,0,2,19,0,1,6,26,0,2152,906
157,0179_02,0,0,2,0,0,0,6,26,0,2152,0
158,0179_03,0,0,2,3,0,1,6,26,0,2152,0
159,0181_01,0,0,2,20,0,0,6,27,0,251,394
160,0182_01,1,1,2,24,0,1,2,3,0,597,0
161,0183_01,0,0,2,37,0,1,5,36,1,2147,821
162,0186_01,0,0,2,25,0,0,6,28,0,1833,1018
163,0188_01,0,1,2,56,0,1,6,31,1,1739,0
164,0189_01,0,0,0,49,0,0,4,8,0,210,788
165,0190_01,0,1,0,11,0,0,6,32,1,2217,0
166,0192_01,0,1,2,1,0,1,6,29,0,2,0
167,0192_02,0,0,2,8,0,0,6,29,0,2,0
168,0192_03,0,0,2,39,0,0,6,29,0,2,908
169,0193_01,2,1,2,2,0,1,5,41,0,1656,0
170,0193_02,2,0,2,23,0,0,5,41,0,1656,1080
171,0193_03,2,0,2,0,0,1,5,41,0,1656,0
172,0195_01,2,0,2,39,0,1,5,42,0,728,1273
173,0196_01,2,0,1,25,0,0,3,5,0,645,1778
174,0197_01,1,0,2,36,0,0,2,5,0,599,2342
175,0198_01,0,0,1,52,0,1,6,30,0,476,0
176,0199_01,0,1,2,18,0,0,6,33,1,1368,0
177,0200_01,0,1,2,15,0,1,6,31,0,450,0
178,0201_01,1,1,2,35,0,1,1,3,1,86,0
179,0201_02,1,1,2,47,0,1,1,3,1,86,0
180,0202_01,1,1,0,45,0,1,1,9,0,644,0
181,0202_02,1,0,0,27,0,1,0,2,0,644,3754
182,0203_01,1,1,2,51,0,1,2,8,1,949,0
183,0205_01,0,0,2,29,0,0,6,34,1,1447,773
184,0206_01,1,0,0,27,0,1,2,9,1,263,2981
185,0207_01,0,1,1,19,0,0,6,32,0,1262,0
186,0210_01,0,1,0,24,0,1,3,6,0,1071,0
187,0211_01,2,0,2,29,0,1,5,44,0,61,1040
188,0211_02,2,1,2,11,0,1,5,44,0,61,0
189,0211_03,2,0,2,17,0,0,5,44,0,540,1337
190,0212_01,0,0,2,13,0,0,4,9,0,2208,982
191,0212_02,0,0,2,35,0,0,5,45,0,2208,732
192,0213_01,0,0,2,21,0,0,5,46,0,1399,794
193,0216_01,0,0,0,21,0,0,5,40,1,818,1974
194,0217_01,0,0,2,38,0,0,5,47,0,1835,1544
195,0219_01,0,1,2,19,0,1,6,36,0,1720,0
196,0220_01,0,1,2,2,0,1,6,37,0,2182,0
197,0220_02,0,0,2,0,0,1,6,37,0,2182,0
198,0220_03,0,1,2,13,0,0,6,37,0,2182,0
199,0220_04,0,0,2,25,0,0,4,10,0,2182,206
200,0220_05,0,0,2,16,0,0,5,48,0,2182,1102
201,0220_06,0,0,0,1,0,0,6,37,0,2182,0
202,0220_07,0,1,2,15,0,1,6,37,0,2182,0
203,0221_01,2,0,0,21,0,0,4,13,1,183,2356
204,0221_02,2,0,2,23,0,0,4,13,1,1683,1298
205,0221_03,2,0,2,33,0,0,4,13,1,1683,2134
206,0221_04,2,1,2,21,0,1,4,13,1,1683,0
207,0221_05,2,0,2,41,0,0,4,13,1,1683,2597
208,0221_06,2,0,2,16,0,0,4,13,1,1683,1370
209,0221_07,2,1,2,42,0,0,4,13,1,1683,0
210,0222_01,2,0,2,20,0,0,5,41,1,1529,1417
211,0222_02,2,1,2,24,0,1,5,41,1,572,0
212,0222_03,2,1,2,16,0,1,4,14,1,1529,0
213,0223_01,0,0,2,21,0,0,6,35,1,2006,676
214,0224_01,2,0,2,32,1,0,5,42,1,1644,1820
215,0225_01,0,1,1,58,0,1,6,38,0,1015,0
216,0229_01,0,0,2,24,0,0,5,43,1,1809,803
217,0231_01,2,0,2,30,0,0,5,44,1,1397,1806
218,0232_01,0,1,1,27,0,0,6,36,1,95,0
219,0233_01,2,0,2,32,0,0,5,45,1,2191,1750
220,0234_01,0,0,2,43,0,0,5,50,0,1100,888
221,0237_01,1,1,2,42,0,1,1,11,0,6,0
222,0239_01,2,0,2,37,0,0,8,82,2,1697,1048
223,0240_01,2,1,2,35,0,1,5,52,0,515,0
224,0241_01,1,0,0,33,0,0,4,11,0,591,7177
225,0242_01,0,0,2,18,0,0,5,46,1,1970,1288
226,0243_01,0,1,2,21,0,0,6,37,1,349,0
227,0244_01,2,1,2,43,0,1,8,82,2,1766,0
228,0244_02,2,1,0,14,0,1,5,47,1,1766,0
229,0245_01,1,0,0,46,0,1,2,6,0,1690,3578
230,0245_02,1,0,2,33,0,0,2,6,0,1690,12378
231,0246_01,2,0,2,21,0,0,3,8,0,1821,3261
232,0248_01,1,0,2,33,0,0,2,10,1,1895,9684
233,0250_01,0,1,1,47,0,0,6,38,1,1160,0
234,0251_01,0,1,0,54,0,1,2,11,1,39,0
235,0252_01,0,0,2,30,0,0,5,53,0,308,1571
236,0253_01,0,0,2,29,0,0,6,42,0,335,888
237,0254_01,0,0,2,21,0,1,5,54,0,1934,1290
238,0255_01,1,1,2,24,0,1,0,3,1,1327,0
239,0257_01,2,0,0,21,0,0,5,49,1,165,1664
240,0257_02,2,1,2,60,0,1,5,49,1,165,0
241,0258_01,0,0,2,22,0,0,5,50,1,480,704
242,0260_01,1,0,2,26,0,0,4,16,1,1055,7845
243,0261_01,0,0,2,26,0,0,5,56,0,205,898
244,0263_01,0,1,2,28,0,1,6,43,0,1307,0
245,0265_01,1,1,2,39,0,1,3,8,1,961,0
246,0267_01,0,0,2,13,0,0,5,51,1,1775,873
247,0269_01,0,0,0,47,0,1,5,52,1,1570,823
248,0270_01,0,0,2,63,0,0,5,59,0,784,1393
249,0275_01,1,1,0,27,0,1,3,9,1,1424,0
250,0277_01,0,0,0,50,0,1,5,61,0,1259,2487
251,0278_01,0,0,2,35,0,0,8,82,2,143,888
252,0278_02,0,0,2,45,0,0,6,45,0,143,444
253,0281_01,0,0,2,19,0,1,5,63,0,1545,2078
254,0282_01,0,0,2,21,0,1,5,54,1,97,918
255,0283_01,0,1,1,29,0,1,6,46,0,1779,0
256,0283_02,0,0,2,22,0,1,5,64,0,1779,803
257,0285_01,1,1,2,14,0,1,4,16,0,1074,0
258,0285_02,1,1,0,42,0,1,4,16,0,1074,0
259,0286_01,0,0,0,57,0,0,5,65,0,1094,1488
260,0287_01,1,1,0,39,0,1,8,82,2,213,0
261,0287_02,1,0,2,28,0,0,1,12,0,213,2085
262,0288_01,0,0,0,19,0,0,5,55,1,562,828
263,0289_01,1,1,0,19,0,1,2,12,1,1423,0
264,0290_01,1,0,0,26,0,1,1,7,1,673,5877
265,0290_02,1,1,2,17,0,1,1,7,1,673,0
266,0290_03,1,0,2,43,0,1,1,7,1,673,0
267,0290_04,1,0,0,9,0,1,1,7,1,673,0
268,0291_01,1,0,2,40,0,1,3,10,1,235,7678
269,0294_01,1,1,2,50,0,1,1,8,1,1736,0
270,0297_01,0,0,2,24,0,1,6,47,0,816,1433
271,0298_01,1,1,0,57,0,1,0,3,0,1886,0
272,0301_01,0,1,2,16,0,0,8,82,2,2211,0
273,0302_01,0,0,2,23,0,0,5,67,0,1833,1385
274,0303_01,0,1,2,23,0,1,6,41,1,1141,0
275,0304_01,1,0,2,28,0,0,4,18,1,77,7439
276,0305_01,1,0,0,23,0,0,2,7,0,844,3073
277,0306_01,0,0,2,23,0,0,4,19,1,666,904
278,0307_01,0,0,2,18,0,1,5,59,1,971,1359
279,0309_01,0,0,2,18,0,0,5,60,1,220,1357
280,0310_01,1,0,2,67,0,0,8,82,2,488,4947
281,0313_01,0,0,1,60,0,1,5,68,0,1275,552
282,0313_02,0,1,0,27,0,1,6,50,0,1275,0
283,0313_03,0,0,0,49,0,1,5,68,0,1275,649
284,0313_04,0,0,0,0,0,1,6,50,0,1275,0
285,0314_01,0,0,0,26,0,0,6,51,0,1155,1790
286,0315_01,0,1,1,35,0,1,6,42,1,2093,0
287,0316_01,1,0,2,24,0,1,1,9,1,1886,2798
288,0316_02,1,1,2,20,0,1,1,9,1,1886,0
289,0320_01,0,0,2,18,0,0,6,44,1,154,2
290,0320_02,0,0,2,21,0,0,6,44,1,154,8
291,0321_01,0,0,2,59,1,0,5,61,1,84,1227
292,0322_01,0,1,1,13,0,0,6,45,1,187,0
293,0324_01,0,1,0,43,0,0,6,53,0,1000,0
294,0326_01,0,1,2,29,0,0,6,47,1,638,0
295,0327_01,0,0,2,19,0,1,8,82,2,1427,803
296,0330_01,1,0,2,2,0,1,2,14,1,1861,0
297,0330_02,1,0,2,32,0,1,2,14,1,2217,5146
298,0330_03,1,0,2,33,0,0,2,14,1,1861,2168
299,0331_01,0,0,2,25,0,0,5,72,0,284,803
300,0333_01,2,1,0,29,0,1,5,73,0,1296,0
301,0334_01,2,0,2,29,0,0,5,62,1,1381,7404
302,0336_01,0,0,2,44,0,0,5,74,0,476,712
303,0337_01,2,1,0,2,0,1,5,63,1,1519,0
304,0337_02,2,0,2,19,0,1,5,63,1,1519,2460
305,0337_03,2,0,0,0,0,1,5,63,1,2217,0
306,0338_01,0,1,2,18,0,1,6,48,1,894,0
307,0340_01,1,1,0,38,0,1,1,10,1,1561,0
308,0341_01,0,1,1,5,0,0,6,57,0,2152,0
309,0343_01,0,0,1,31,0,0,5,76,0,1771,1302
310,0345_01,2,1,2,30,0,0,4,21,1,1654,0
311,0346_01,0,1,0,15,0,1,6,59,0,369,0
312,0347_01,2,0,2,27,0,0,5,64,1,1157,1868
313,0348_01,2,0,2,22,0,1,3,12,0,1234,3223
314,0348_02,2,0,2,36,0,1,8,82,2,1234,2385
315,0350_01,0,1,1,14,0,1,6,60,0,283,0
316,0352_01,2,0,2,23,0,0,5,78,0,1959,4976
317,0355_01,0,1,2,18,0,1,8,82,2,2131,0
318,0356_01,1,1,0,36,0,1,1,15,0,864,0
319,0357_01,0,0,2,41,0,0,5,65,1,1280,1894
320,0358_01,0,1,2,50,0,1,6,50,1,470,0
321,0358_02,0,1,1,32,0,1,6,50,1,470,0
322,0359_01,0,0,1,26,0,0,5,66,1,1579,689
323,0360_01,0,0,2,15,0,0,5,67,1,1916,715
324,0361_01,0,0,0,33,0,1,5,68,1,944,733
325,0365_01,0,0,0,27,0,0,6,51,1,1081,706
326,0368_01,2,0,2,26,0,0,5,82,0,1529,7405
327,0368_02,2,1,2,61,0,1,5,82,0,1529,0
328,0369_01,0,0,2,24,0,1,6,53,1,1595,827
329,0370_01,0,0,2,30,0,0,5,83,0,438,1559
330,0371_01,2,1,2,24,0,1,5,84,0,628,0
331,0372_01,0,0,2,24,0,0,5,85,0,2217,2771
332,0373_01,0,1,2,41,0,0,6,62,0,1282,0
333,0375_01,0,0,2,20,0,0,4,22,0,2108,788
334,0376_01,0,0,2,22,0,1,6,54,1,1904,908
335,0377_01,1,0,0,63,0,0,2,15,1,673,9432
336,0378_01,1,0,0,18,0,0,1,11,1,1550,6065
337,0378_02,1,1,0,21,0,1,1,11,1,1550,0
338,0378_03,1,0,2,79,0,0,1,11,1,1550,10645
339,0378_04,1,1,2,56,0,1,1,11,1,1550,0
340,0378_05,1,1,2,13,0,1,1,11,1,1550,0
341,0378_06,1,0,2,33,0,0,1,11,1,1550,4729
342,0378_07,1,1,2,32,0,1,1,11,1,1550,0
343,0379_01,0,0,2,31,0,1,6,63,0,1354,953
344,0380_01,1,1,0,26,0,1,8,82,2,786,0
345,0381_01,1,1,0,18,0,1,1,16,0,1372,0
346,0381_02,1,1,0,38,0,1,1,16,0,1372,0
347,0382_01,0,0,2,23,0,0,6,64,0,732,720
348,0383_01,0,0,2,28,0,0,6,55,1,2119,4688
349,0383_02,0,1,1,34,0,0,6,55,1,2119,0
350,0384_01,0,0,0,0,0,1,6,56,1,1849,0
351,0384_02,0,0,2,14,0,1,6,56,1,1849,909
352,0385_01,0,0,2,23,0,0,6,65,0,1146,888
353,0387_01,0,1,2,49,0,0,6,66,0,1305,0
354,0388_01,0,1,2,14,0,0,6,57,1,1978,0
355,0389_01,0,0,2,18,0,0,4,23,0,1786,791
356,0391_01,1,0,1,27,1,1,2,9,0,497,6784
357,0392_01,0,0,2,48,0,0,4,24,0,342,1619
358,0395_01,1,0,0,31,1,0,1,17,0,965,25400
359,0395_02,1,0,0,61,0,0,1,17,0,965,4445
360,0396_01,0,1,2,18,0,1,6,59,1,1726,0
361,0397_01,2,1,2,45,0,1,5,69,1,1303,0
362,0398_01,2,0,2,22,0,0,3,13,1,2039,6498
363,0401_01,2,0,2,30,1,0,3,14,1,1546,1056
364,0401_02,2,0,2,30,0,0,3,14,1,1546,1783
365,0402_01,0,1,0,32,1,1,3,15,1,1768,0
366,0403_01,2,0,2,43,1,1,3,13,0,2137,1251
367,0405_01,0,0,0,17,0,0,5,89,0,731,494
368,0407_01,0,0,2,23,0,0,6,69,0,1330,1720
369,0407_02,0,0,2,20,0,0,5,90,0,1330,693
370,0407_03,0,1,2,39,0,0,6,69,0,1330,0
371,0408_01,2,0,2,35,0,0,4,25,0,192,1299
372,0409_01,2,0,2,31,0,0,5,71,1,1040,1118
373,0410_01,0,0,0,21,0,0,5,72,1,1722,717
374,0411_01,0,0,2,16,0,0,5,91,0,1756,932
375,0412_01,1,0,2,60,0,1,2,11,0,1647,14744
376,0413_01,0,0,2,18,0,0,5,92,0,1932,569
377,0415_01,0,1,2,42,0,0,6,60,1,1545,0
378,0417_01,1,1,0,68,0,1,1,18,0,1560,0
379,0417_02,1,0,0,22,0,0,1,18,0,2070,7878
380,0417_03,1,1,2,59,0,1,1,18,0,2070,0
381,0423_01,1,0,2,27,0,1,1,19,0,1635,3662
382,0425_01,2,0,2,37,0,0,5,96,0,704,1157
383,0425_02,2,1,2,3,0,1,5,96,0,704,0
384,0425_03,2,1,2,31,0,1,5,96,0,704,0
385,0427_01,1,0,2,31,0,1,4,26,0,639,8956
386,0428_01,1,0,2,29,0,1,2,16,1,394,7972
387,0429_01,1,0,0,20,0,1,0,5,1,1059,10345
388,0429_02,1,1,0,46,0,1,0,5,1,1059,0
389,0430_01,0,0,2,29,0,1,5,75,1,1098,1042
390,0431_01,2,1,2,43,0,1,5,97,0,1299,0
391,0432_01,2,0,2,17,0,0,5,76,1,1149,1493
392,0433_01,1,0,0,27,0,1,1,20,0,1364,0
393,0433_02,1,0,2,47,0,0,1,20,0,1364,7513
394,0434_01,2,1,2,45,0,1,5,77,1,1602,0
395,0435_01,0,1,2,17,0,1,6,62,1,2181,0
396,0436_01,0,0,0,10,0,1,6,63,1,981,0
397,0436_02,0,0,1,56,0,0,6,63,1,981,679
398,0437_01,0,0,2,39,0,0,5,78,1,1447,871
399,0437_02,0,0,1,40,0,0,5,78,1,1447,873
400,0438_01,1,1,2,40,0,1,1,13,1,575,0
401,0439_01,1,0,0,34,0,0,2,13,0,2064,7674
402,0441_01,0,0,0,32,0,0,5,79,1,905,722
403,0442_01,0,0,2,35,0,0,5,98,0,64,1050
404,0444_01,2,0,2,32,1,0,3,15,0,531,3015
405,0444_02,0,0,2,26,1,0,5,99,0,531,2005
406,0445_01,0,0,2,25,0,0,5,80,1,1237,2175
407,0445_02,0,0,2,26,0,0,4,25,1,1237,792
408,0446_01,1,1,0,22,0,1,1,21,0,1858,0
409,0447_01,0,0,2,22,0,1,5,81,1,1257,804
410,0448_01,0,0,2,24,0,0,4,27,0,1006,789
411,0448_02,0,1,1,32,0,1,6,71,0,2217,0
412,0449_01,0,1,2,11,0,1,6,64,1,1355,0
413,0452_01,2,1,2,22,0,1,4,26,1,634,0
414,0453_01,1,1,2,19,0,1,1,14,1,2014,0
415,0453_02,1,1,0,34,0,1,8,82,2,2014,0
416,0453_03,1,1,2,74,0,1,1,14,1,2014,0
417,0454_01,1,0,0,28,1,1,1,15,1,842,5043
418,0454_02,1,1,2,42,0,1,1,15,1,802,0
419,0454_03,1,1,2,43,0,1,1,15,1,842,0
420,0456_01,0,0,2,55,0,0,5,83,1,977,715
421,0457_01,0,0,1,19,0,1,6,72,0,1578,773
422,0457_02,0,1,2,6,0,0,6,72,0,1578,0
423,0457_03,0,0,2,7,0,0,6,72,0,1578,0
424,0458_01,1,1,0,28,0,1,3,16,1,152,0
425,0459_01,0,0,2,15,0,0,5,84,1,1405,2217
426,0460_01,0,1,1,24,0,1,6,65,1,1092,0
427,0461_01,0,0,1,31,0,1,4,27,1,2215,869
428,0461_02,0,0,2,22,0,1,5,85,1,2215,884
429,0461_03,0,0,0,1,0,1,6,66,1,2215,0
430,0462_01,0,1,2,50,0,0,6,67,1,1889,0
431,0463_01,2,0,2,34,0,0,5,100,0,1915,1157
432,0463_02,2,0,2,14,0,0,5,100,0,1915,1861
433,0465_01,0,0,2,19,0,0,4,28,0,367,1620
434,0465_02,0,0,2,27,0,1,4,28,0,367,826
435,0466_01,0,0,2,36,0,0,5,101,0,143,865
436,0468_01,0,1,2,34,0,0,8,82,2,2212,0
437,0470_01,2,1,0,25,0,1,5,86,1,174,0
438,0470_02,0,1,2,36,0,1,5,86,1,174,0
439,0471_01,1,0,2,16,0,0,1,22,0,789,5400
440,0471_02,1,0,0,30,0,1,1,22,0,789,7976
441,0472_01,0,0,1,37,0,0,5,87,1,1879,862
442,0474_01,0,1,0,15,0,1,6,69,1,374,0
443,0475_01,0,0,2,36,0,0,4,29,0,852,990
444,0476_01,2,0,1,27,0,0,5,103,0,389,295
445,0476_02,2,1,2,27,0,1,5,103,0,389,0
446,0476_03,2,1,2,12,0,1,5,103,0,389,0
447,0477_01,0,0,2,22,0,0,4,30,0,1355,1624
448,0480_01,0,0,2,27,0,0,6,74,0,1259,332
449,0481_01,0,1,2,13,0,1,6,70,1,1506,0
450,0482_01,0,0,2,27,0,0,4,28,1,1227,788
451,0482_02,0,0,2,28,0,0,5,88,1,1227,629
452,0485_01,1,0,0,21,0,0,1,17,1,2076,3436
453,0487_01,1,0,2,39,0,0,2,19,1,1421,6527
454,0488_01,0,1,1,28,0,0,6,76,0,2100,0
455,0490_01,0,1,2,14,0,1,6,71,1,1141,0
456,0498_01,1,1,0,27,0,1,8,82,2,1605,0
457,0498_02,1,1,0,46,0,1,1,18,1,1605,0
458,0499_01,2,1,0,27,0,1,5,89,1,1286,0
459,0499_02,2,0,2,21,0,0,4,29,1,1286,0
460,0500_01,2,0,0,21,0,1,3,19,0,316,2344
461,0501_01,1,0,2,42,0,0,4,32,0,1900,2377
462,0502_01,2,0,2,22,0,0,8,82,2,1999,1298
