,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Total_Spending,Deck,Num,Side
146,2,1,0,13,0,1,0,0,35,0
147,2,0,0,27,0,0,1572,0,35,0
148,0,1,0,31,0,0,0,1,23,1
149,0,0,0,24,0,0,788,2,10,0
150,0,1,2,19,0,1,0,1,30,0
151,0,1,0,32,0,1,0,1,24,1
152,0,0,0,58,0,1,990,2,11,0
153,0,0,1,21,0,0,593,0,38,1
154,1,0,0,38,0,0,27428,3,2,0
155,2,0,0,38,0,0,3722,5,6,0
156,0,0,0,19,0,1,906,1,26,1
157,0,0,0,0,0,0,0,1,26,1
158,0,0,0,3,0,1,0,1,26,1
159,0,0,0,20,0,0,394,1,27,1
160,1,1,0,24,0,1,0,4,3,1
161,0,0,0,37,0,1,821,0,36,0
162,0,0,0,25,0,0,1018,1,28,1
163,0,1,0,56,0,1,0,1,31,0
164,0,0,1,49,0,0,788,2,8,1
165,0,1,1,11,0,0,0,1,32,0
166,0,1,0,1,0,1,0,1,29,1
167,0,0,0,8,0,0,0,1,29,1
168,0,0,0,39,0,0,908,1,29,1
169,2,1,0,2,0,1,0,0,41,1
170,2,0,0,23,0,0,1080,0,41,1
171,2,0,0,0,0,1,0,0,41,1
172,2,0,0,39,0,1,1273,0,42,1
173,2,0,2,25,0,0,1778,5,5,1
174,1,0,0,36,0,0,2342,4,5,1
175,0,0,2,52,0,1,0,1,30,1
176,0,1,0,18,0,0,0,1,33,0
177,0,1,0,15,0,1,0,1,31,1
178,1,1,0,35,0,1,0,3,3,0
179,1,1,0,47,0,1,0,3,3,0
180,1,1,1,45,0,1,0,3,9,1
181,1,0,1,24,0,1,3754,6,2,1
182,1,1,0,51,0,1,0,4,8,0
183,0,0,0,29,0,0,773,1,34,0
184,1,0,1,24,0,1,2981,4,9,0
185,0,1,2,19,0,0,0,1,32,1
186,0,1,1,24,0,1,0,5,6,1
187,2,0,0,29,0,1,1040,0,44,1
188,2,1,0,11,0,1,0,0,44,1
189,2,0,0,17,0,0,1337,0,44,1
190,0,0,0,13,0,0,982,2,9,1
191,0,0,0,35,0,0,732,0,45,1
192,0,0,0,21,0,0,794,0,46,1
193,0,0,1,21,0,0,1974,0,40,0
194,0,0,0,38,0,0,1544,0,47,1
195,0,1,0,19,0,1,0,1,36,1
196,0,1,0,2,0,1,0,1,37,1
197,0,0,0,0,0,1,0,1,37,1
198,0,1,0,13,0,0,0,1,37,1
199,0,0,0,25,0,0,206,2,10,1
200,0,0,0,16,0,0,1102,0,48,1
201,0,0,1,1,0,0,0,1,37,1
202,0,1,0,15,0,1,0,1,37,1
203,2,0,1,21,0,0,2356,2,13,0
204,2,0,0,23,0,0,1298,2,13,0
205,2,0,0,33,0,0,2134,2,13,0
206,2,1,0,21,0,1,0,2,13,0
207,2,0,0,41,0,0,2597,2,13,0
208,2,0,0,16,0,0,1370,2,13,0
209,2,1,0,42,0,0,0,2,13,0
210,2,0,0,20,0,0,1417,0,41,0
211,2,1,0,24,0,1,0,0,41,0
212,2,1,0,16,0,1,0,2,14,0
213,0,0,0,21,0,0,676,1,35,0
214,2,0,0,32,1,0,1820,0,42,0
215,0,1,2,58,0,1,0,1,38,1
216,0,0,0,24,0,0,803,0,43,0
217,2,0,0,30,0,0,1806,0,44,0
218,0,1,2,27,0,0,0,1,36,0
219,2,0,0,32,0,0,1750,0,45,0
220,0,0,0,43,0,0,888,0,50,1
221,1,1,0,42,0,1,0,3,11,1
222,2,0,0,37,0,0,1048,1,734,0
223,2,1,0,35,0,1,0,0,52,1
224,1,0,1,33,0,0,7177,2,11,1
225,0,0,0,18,0,0,1288,0,46,0
226,0,1,0,21,0,0,0,1,37,0
227,2,1,0,43,0,1,0,1,734,0
228,2,1,1,14,0,1,0,0,47,0
229,1,0,1,46,0,1,3578,4,6,1
230,1,0,0,33,0,0,12378,4,6,1
231,2,0,0,21,0,0,3261,5,8,1
232,1,0,0,33,0,0,9684,4,10,0
233,0,1,2,47,0,0,0,1,38,0
234,0,1,1,54,0,1,0,4,11,0
235,0,0,0,30,0,0,1571,0,53,1
236,0,0,0,29,0,0,888,1,42,1
237,0,0,0,21,0,1,1290,0,54,1
238,1,1,0,24,0,1,0,6,3,0
239,2,0,1,21,0,0,1664,0,49,0
240,2,1,0,60,0,1,0,0,49,0
241,0,0,0,22,0,0,704,0,50,0
242,1,0,0,26,0,0,7845,2,16,0
243,0,0,0,26,0,0,898,0,56,1
244,0,1,0,28,0,1,0,1,43,1
245,1,1,0,39,0,1,0,5,8,0
246,0,0,0,13,0,0,873,0,51,0
247,0,0,1,47,0,1,823,0,52,0
248,0,0,0,63,0,0,1393,0,59,1
249,1,1,1,24,0,1,0,5,9,0
250,0,0,1,50,0,1,2487,0,61,1
251,0,0,0,35,0,0,888,1,734,0
252,0,0,0,45,0,0,444,1,45,1
253,0,0,0,19,0,1,2078,0,63,1
254,0,0,0,21,0,1,918,0,54,0
255,0,1,2,29,0,1,0,1,46,1
256,0,0,0,22,0,1,803,0,64,1
257,1,1,0,14,0,1,0,2,16,1
258,1,1,1,42,0,1,0,2,16,1
259,0,0,1,57,0,0,1488,0,65,1
260,1,1,1,39,0,1,0,1,734,0
261,1,0,0,28,0,0,2085,3,12,1
262,0,0,1,19,0,0,828,0,55,0
263,1,1,1,19,0,1,0,4,12,0
264,1,0,1,26,0,1,5877,3,7,0
265,1,1,0,17,0,1,0,3,7,0
266,1,0,0,43,0,1,0,3,7,0
267,1,0,1,9,0,1,0,3,7,0
268,1,0,0,40,0,1,7678,5,10,0
269,1,1,0,50,0,1,0,3,8,0
270,0,0,0,24,0,1,1433,1,47,1
271,1,1,1,57,0,1,0,6,3,1
272,0,1,0,16,0,0,0,1,734,0
273,0,0,0,23,0,0,1385,0,67,1
274,0,1,0,23,0,1,0,1,41,0
275,1,0,0,28,0,0,7439,2,18,0
276,1,0,1,23,0,0,3073,4,7,1
277,0,0,0,23,0,0,904,2,19,0
278,0,0,0,18,0,1,1359,0,59,0
279,0,0,0,18,0,0,1357,0,60,0
280,1,0,0,67,0,0,4947,1,734,0
281,0,0,2,60,0,1,552,0,68,1
282,0,1,1,24,0,1,0,1,50,1
283,0,0,1,49,0,1,649,0,68,1
284,0,0,1,0,0,1,0,1,50,1
285,0,0,1,26,0,0,1790,1,51,1
286,0,1,2,35,0,1,0,1,42,0
287,1,0,0,24,0,1,2798,3,9,0
288,1,1,0,20,0,1,0,3,9,0
289,0,0,0,18,0,0,2,1,44,0
290,0,0,0,21,0,0,8,1,44,0
291,0,0,0,59,1,0,1227,0,61,0
292,0,1,2,13,0,0,0,1,45,0
293,0,1,1,43,0,0,0,1,53,1
294,0,1,0,29,0,0,0,1,47,0
295,0,0,0,19,0,1,803,1,734,0
296,1,0,0,2,0,1,0,4,14,0
297,1,0,0,32,0,1,5146,4,14,0
298,1,0,0,33,0,0,2168,4,14,0
299,0,0,0,25,0,0,803,0,72,1
300,2,1,1,29,0,1,0,0,73,1
301,2,0,0,29,0,0,7404,0,62,0
302,0,0,0,44,0,0,712,0,74,1
303,2,1,1,2,0,1,0,0,63,0
304,2,0,0,19,0,1,2460,0,63,0
305,2,0,1,0,0,1,0,0,63,0
306,0,1,0,18,0,1,0,1,48,0
307,1,1,1,38,0,1,0,3,10,0
308,0,1,2,5,0,0,0,1,57,1
309,0,0,2,31,0,0,1302,0,76,1
310,2,1,0,30,0,0,0,2,21,0
311,0,1,1,15,0,1,0,1,59,1
312,2,0,0,27,0,0,1868,0,64,0
313,2,0,0,22,0,1,3223,5,12,1
314,2,0,0,36,0,1,2385,1,734,0
315,0,1,2,14,0,1,0,1,60,1
316,2,0,0,23,0,0,4976,0,78,1
317,0,1,0,18,0,1,0,1,734,0
318,1,1,1,36,0,1,0,3,15,1
319,0,0,0,41,0,0,1894,0,65,0
320,0,1,0,50,0,1,0,1,50,0
321,0,1,2,32,0,1,0,1,50,0
322,0,0,2,26,0,0,689,0,66,0
323,0,0,0,15,0,0,715,0,67,0
324,0,0,1,33,0,1,733,0,68,0
325,0,0,1,24,0,0,706,1,51,0
326,2,0,0,26,0,0,7405,0,82,1
327,2,1,0,61,0,1,0,0,82,1
328,0,0,0,24,0,1,827,1,53,0
329,0,0,0,30,0,0,1559,0,83,1
330,2,1,0,24,0,1,0,0,84,1
331,0,0,0,24,0,0,2771,0,85,1
332,0,1,0,41,0,0,0,1,62,1
333,0,0,0,20,0,0,788,2,22,1
334,0,0,0,22,0,1,908,1,54,0
335,1,0,1,63,0,0,9432,4,15,0
336,1,0,1,18,0,0,6065,3,11,0
337,1,1,1,21,0,1,0,3,11,0
338,1,0,0,79,0,0,10645,3,11,0
339,1,1,0,56,0,1,0,3,11,0
340,1,1,0,13,0,1,0,3,11,0
341,1,0,0,33,0,0,4729,3,11,0
342,1,1,0,32,0,1,0,3,11,0
343,0,0,0,31,0,1,953,1,63,1
344,1,1,1,26,0,1,0,1,734,0
345,1,1,1,18,0,1,0,3,16,1
346,1,1,1,38,0,1,0,3,16,1
347,0,0,0,23,0,0,720,1,64,1
348,0,0,0,28,0,0,4688,1,55,0
349,0,1,2,34,0,0,0,1,55,0
350,0,0,1,0,0,1,0,1,56,0
351,0,0,0,14,0,1,909,1,56,0
352,0,0,0,23,0,0,888,1,65,1
353,0,1,0,49,0,0,0,1,66,1
354,0,1,0,14,0,0,0,1,57,0
355,0,0,0,18,0,0,791,2,23,1
356,1,0,2,27,1,1,6784,4,9,1
357,0,0,0,48,0,0,1619,2,24,1
358,1,0,1,31,1,0,25400,3,17,1
359,1,0,1,61,0,0,4445,3,17,1
360,0,1,0,18,0,1,0,1,59,0
361,2,1,0,45,0,1,0,0,69,0
362,2,0,0,22,0,0,6498,5,13,0
363,2,0,0,30,1,0,1056,5,14,0
364,2,0,0,30,0,0,1783,5,14,0
365,0,1,1,32,1,1,0,5,15,0
366,2,0,0,43,1,1,1251,5,13,1
367,0,0,1,17,0,0,494,0,89,1
368,0,0,0,23,0,0,1720,1,69,1
369,0,0,0,20,0,0,693,0,90,1
370,0,1,0,39,0,0,0,1,69,1
371,2,0,0,35,0,0,1299,2,25,1
372,2,0,0,31,0,0,1118,0,71,0
373,0,0,1,21,0,0,717,0,72,0
374,0,0,0,16,0,0,932,0,91,1
375,1,0,0,60,0,1,14744,4,11,1
376,0,0,0,18,0,0,569,0,92,1
377,0,1,0,42,0,0,0,1,60,0
378,1,1,1,68,0,1,0,3,18,1
379,1,0,1,22,0,0,7878,3,18,1
380,1,1,0,59,0,1,0,3,18,1
381,1,0,0,24,0,1,3662,3,19,1
382,2,0,0,37,0,0,1157,0,96,1
383,2,1,0,3,0,1,0,0,96,1
384,2,1,0,31,0,1,0,0,96,1
385,1,0,0,31,0,1,8956,2,26,1
386,1,0,0,29,0,1,7972,4,16,0
387,1,0,1,20,0,1,10345,6,5,0
388,1,1,1,46,0,1,0,6,5,0
389,0,0,0,29,0,1,1042,0,75,0
390,2,1,0,43,0,1,0,0,97,1
391,2,0,0,17,0,0,1493,0,76,0
392,1,0,1,27,0,1,0,3,20,1
393,1,0,0,47,0,0,7513,3,20,1
394,2,1,0,45,0,1,0,0,77,0
395,0,1,0,17,0,1,0,1,62,0
396,0,0,1,10,0,1,0,1,63,0
397,0,0,2,56,0,0,679,1,63,0
398,0,0,0,39,0,0,871,0,78,0
399,0,0,2,40,0,0,873,0,78,0
400,1,1,0,40,0,1,0,3,13,0
401,1,0,1,34,0,0,7674,4,13,1
402,0,0,1,32,0,0,722,0,79,0
403,0,0,0,35,0,0,1050,0,98,1
404,2,0,0,32,1,0,3015,5,15,1
405,0,0,0,26,1,0,2005,0,99,1
406,0,0,0,25,0,0,2175,0,80,0
407,0,0,0,26,0,0,792,2,25,0
408,1,1,1,22,0,1,0,3,21,1
409,0,0,0,22,0,1,804,0,81,0
410,0,0,0,24,0,0,789,2,27,1
411,0,1,2,32,0,1,0,1,71,1
412,0,1,0,11,0,1,0,1,64,0
413,2,1,0,22,0,1,0,2,26,0
414,1,1,0,19,0,1,0,3,14,0
415,1,1,1,34,0,1,0,1,734,0
416,1,1,0,74,0,1,0,3,14,0
417,1,0,1,28,1,1,5043,3,15,0
418,1,1,0,42,0,1,0,3,15,0
419,1,1,0,43,0,1,0,3,15,0
420,0,0,0,55,0,0,715,0,83,0
421,0,0,2,19,0,1,773,1,72,1
422,0,1,0,6,0,0,0,1,72,1
423,0,0,0,7,0,0,0,1,72,1
424,1,1,1,28,0,1,0,5,16,0
425,0,0,0,15,0,0,2217,0,84,0
426,0,1,2,24,0,1,0,1,65,0
427,0,0,2,31,0,1,869,2,27,0
428,0,0,0,22,0,1,884,0,85,0
429,0,0,1,1,0,1,0,1,66,0
430,0,1,0,50,0,0,0,1,67,0
431,2,0,0,34,0,0,1157,0,100,1
432,2,0,0,14,0,0,1861,0,100,1
433,0,0,0,19,0,0,1620,2,28,1
434,0,0,0,24,0,1,826,2,28,1
435,0,0,0,36,0,0,865,0,101,1
436,0,1,0,34,0,0,0,1,734,0
437,2,1,1,25,0,1,0,0,86,0
438,0,1,0,36,0,1,0,0,86,0
439,1,0,0,16,0,0,5400,3,22,1
440,1,0,1,30,0,1,7976,3,22,1
441,0,0,2,37,0,0,862,0,87,0
442,0,1,1,15,0,1,0,1,69,0
443,0,0,0,36,0,0,990,2,29,1
444,2,0,2,27,0,0,295,0,103,1
445,2,1,0,27,0,1,0,0,103,1
446,2,1,0,12,0,1,0,0,103,1
447,0,0,0,22,0,0,1624,2,30,1
448,0,0,0,27,0,0,332,1,74,1
449,0,1,0,13,0,1,0,1,70,0
450,0,0,0,27,0,0,788,2,28,0
451,0,0,0,28,0,0,629,0,88,0
452,1,0,1,21,0,0,3436,3,17,0
453,1,0,0,39,0,0,6527,4,19,0
454,0,1,2,28,0,0,0,1,76,1
455,0,1,0,14,0,1,0,1,71,0
456,1,1,1,27,0,1,0,1,734,0
457,1,1,1,46,0,1,0,3,18,0
458,2,1,1,27,0,1,0,0,89,0
459,2,0,0,21,0,0,0,2,29,0
460,2,0,1,21,0,1,2344,5,19,1
461,1,0,0,42,0,0,2377,2,32,1
462,2,0,0,22,0,0,1298,1,734,0
463,2,0,0,10,0,1,0,0,90,0
464,2,0,0,43,0,0,1897,0,90,0
465,2,0,0,42,0,0,1297,2,31,0
466,1,1,1,18,0,1,0,3,19,0
467,1,1,1,54,0,1,0,3,19,0
468,1,1,0,24,0,1,0,3,19,0
469,1,0,0,64,0,0,2901,3,19,0
470,1,1,1,18,0,1,0,3,19,0
471,0,1,1,53,0,1,0,3,19,0
472,2,1,0,23,0,1,0,0,91,0
473,0,0,0,39,0,1,0,1,74,0
474,1,0,0,59,0,1,16844,4,16,1
475,1,0,1,32,0,1,5936,5,18,0
476,1,1,0,55,0,1,0,5,18,0
477,0,1,2,21,0,1,0,1,78,1
478,1,1,0,50,0,1,0,3,20,0
479,1,0,1,55,0,0,5022,6,6,0
480,0,0,0,24,0,0,1521,0,109,1
481,0,1,0,35,0,1,0,0,92,0
482,0,1,0,24,0,1,0,1,77,0
483,0,0,0,55,0,0,62,1,78,0
484,0,0,0,23,0,1,302,2,32,0
485,0,0,0,42,0,0,906,2,33,1
486,0,0,0,35,0,1,2505,2,33,0
487,0,1,0,47,0,1,0,1,734,0
488,2,0,1,24,0,0,1190,0,93,0
489,2,1,0,34,0,1,0,0,93,0
490,1,0,0,46,0,0,11141,4,17,1
491,0,1,2,26,0,0,0,1,81,1
492,0,1,1,1,0,0,0,1,82,1
493,0,1,1,24,0,1,0,1,82,1
494,2,0,0,33,0,0,961,5,21,1
495,1,0,0,34,0,0,8476,3,23,1
496,1,0,0,49,0,0,5863,3,23,1
497,0,0,0,22,0,0,677,1,83,1
498,0,0,0,28,0,1,1078,0,110,1
499,1,1,0,24,0,1,0,4,18,1
500,1,1,1,36,0,1,0,4,18,1
501,0,1,1,30,0,1,0,4,18,1
502,1,1,0,49,0,1,0,4,18,1
503,1,0,0,38,0,0,7268,4,18,1
504,2,1,0,31,0,1,0,0,95,0
505,0,0,0,17,0,0,1532,0,95,0
506,0,0,0,26,0,0,887,1,84,1
507,0,0,0,23,0,0,740,0,111,1
508,0,0,1,24,0,0,2459,0,96,0
509,0,0,0,23,0,0,865,0,97,0
510,0,0,0,24,0,1,791,2,36,0
511,2,0,2,32,0,1,919,5,19,0
512,2,1,0,43,0,1,0,0,98,0
513,0,0,0,23,0,1,787,0,99,0
514,0,0,0,42,0,0,849,1,80,0
515,1,1,1,29,0,1,0,4,21,0
516,1,1,0,40,0,1,0,4,19,1
517,1,0,0,37,0,1,7270,4,19,1
518,1,1,1,61,0,1,0,4,20,1
519,1,0,0,33,0,0,2691,4,20,1
520,0,0,0,19,0,1,1448,0,100,0
521,0,0,2,21,0,0,671,0,102,0
522,0,0,0,4,0,0,0,1,81,0
523,0,0,2,12,0,1,0,1,81,0
524,0,0,0,44,0,1,1839,0,103,0
525,0,0,0,22,0,0,774,1,82,0
526,2,0,1,33,0,0,1905,0,114,1
527,1,1,1,32,0,1,0,3,24,1
528,1,1,0,28,0,1,0,3,24,1
529,1,0,0,28,0,0,5461,3,24,1
530,2,0,0,31,0,0,1309,0,115,1
531,2,1,0,13,0,1,0,2,37,0
532,0,1,0,14,0,1,0,1,83,0
533,1,0,0,33,0,0,1946,5,20,0
534,1,1,1,24,0,1,0,5,20,0
535,0,0,0,23,0,1,644,0,116,1
536,1,0,0,36,1,1,6634,4,22,0
537,1,1,1,22,0,1,0,4,21,1
538,1,1,0,19,0,0,0,4,21,1
539,1,1,0,42,0,1,0,4,21,1
540,1,1,0,30,0,1,0,4,21,1
541,1,1,1,16,0,1,0,4,21,1
542,1,0,0,55,0,0,4924,4,21,1
543,1,1,0,55,0,1,0,4,21,1
544,0,0,0,19,0,0,2786,0,105,0
545,0,0,0,24,0,0,902,0,117,1
546,1,1,0,18,0,1,0,2,34,1
547,0,0,0,21,0,0,735,0,107,0
548,0,0,0,65,0,0,626,1,86,1
549,0,0,0,55,0,1,880,0,108,0
550,0,0,0,50,0,0,233,1,85,0
551,0,1,0,49,0,1,0,1,87,1
552,0,0,0,22,0,0,788,2,38,0
553,2,1,0,33,0,1,0,0,118,1
554,2,1,0,3,0,1,0,0,109,0
555,2,1,0,0,0,1,0,0,109,0
556,2,1,0,33,0,1,0,0,109,0
557,2,1,0,48,0,1,0,0,120,1
558,2,1,0,5,0,1,0,0,120,1
559,2,0,0,23,0,0,3740,5,22,1
560,1,1,0,53,0,1,0,5,23,1
561,2,0,0,18,0,0,1688,0,121,1
562,0,1,2,20,0,0,0,1,89,1
563,0,0,0,23,0,0,787,2,35,1
564,0,0,0,48,0,0,1777,1,90,1
565,0,1,2,19,0,0,0,1,86,0
566,2,0,0,24,0,0,2383,5,24,1
567,0,0,1,9,0,0,0,1,87,0
568,0,0,0,24,0,0,787,2,39,0
569,2,0,0,46,0,1,2598,0,123,1
570,0,1,0,23,0,1,0,1,91,1
571,0,1,0,21,0,0,0,1,91,1
572,0,1,0,19,0,0,0,1,89,0
573,2,0,0,0,0,1,0,0,124,1
574,2,0,0,4,0,1,0,0,124,1
575,2,0,0,26,0,0,1428,0,124,1
576,2,1,0,9,0,1,0,0,124,1
577,1,0,0,24,0,1,5013,4,23,0
578,2,1,0,24,0,1,0,0,125,1
579,2,0,0,25,0,0,0,2,36,1
580,2,1,0,21,0,1,0,0,125,1
581,0,0,0,21,0,0,759,0,126,1
582,1,0,0,37,0,0,11140,4,22,1
583,1,0,1,44,0,0,4458,4,22,1
584,1,0,0,43,0,0,3085,4,22,1
585,0,0,0,7,0,1,0,1,94,1
586,2,0,0,33,0,0,258,0,128,1
587,0,0,0,24,0,0,736,0,129,1
588,0,1,2,31,0,1,0,1,90,0
589,1,1,0,27,1,1,0,3,25,1
590,0,0,0,34,0,1,0,1,91,0
591,0,1,0,58,0,0,0,1,92,0
592,0,0,0,7,0,1,0,1,92,0
593,0,1,1,3,0,1,0,1,92,0
594,0,0,1,21,0,1,957,1,95,1
595,0,0,2,21,0,0,757,0,131,1
596,1,1,0,39,0,1,0,4,24,0
597,1,1,1,43,0,1,0,4,24,0
598,0,1,0,22,0,1,0,1,93,0
599,0,0,0,44,0,1,1319,0,133,1
600,0,0,0,38,0,0,1018,1,96,1
601,2,1,0,32,0,1,0,0,112,0
602,2,1,0,55,0,1,0,0,113,0
603,2,0,2,31,1,0,779,5,25,1
604,0,0,0,39,0,0,2019,0,135,1
605,0,0,0,35,0,1,1778,1,94,0
606,0,0,0,37,0,0,994,2,43,0
607,0,0,1,13,0,0,705,0,136,1
608,0,0,0,21,0,0,682,0,136,1
609,2,0,0,20,0,0,0,2,44,0
610,1,1,1,20,0,1,0,3,28,1
611,0,0,0,63,0,1,1104,0,137,1
612,0,0,0,36,0,0,1979,0,114,0
613,1,0,1,29,0,1,4434,4,25,0
614,1,0,1,36,0,1,7141,4,25,0
615,1,0,0,79,0,0,2212,4,25,0
616,1,1,1,30,0,1,0,4,25,0
617,1,1,1,30,0,1,0,4,25,0
618,2,0,0,19,0,1,1426,0,138,1
619,1,1,0,33,0,1,0,2,38,1
620,0,0,0,20,0,0,1725,1,98,1
621,1,1,1,38,0,1,0,4,26,0
